Journal Name,Year Founded,Year S2O-OA initiated,Year S2O ended,Publisher Location,Affiliation,Current Publisher,Discipline,Has author-side fees?,ISSN-L,Wikidata,openAlexID,2020-Count,2021-Count,2022-Count,2023-Count,2024-Count,2025-Count
STAPS,1980,2025,N/A,France,Association Francophone pour la Recherche en Activités Physiques et Sportives,CAIRN/De Boeck Supérieur,SSH,No,0247-106X,Q47010074,S34091647,NA,NA,NA,NA,NA,44
Nouvelles Questions Féministes / New Feminist Questions,1981,2025,N/A,France,(none),CAIRN/Éditions Antipodes,SSH,No,0248-4951,Q3345255,S11168779,NA,NA,NA,NA,NA,51
Archives de sciences sociales des religions,1956,2025,N/A,France,(none),CAIRN/Éditions de l'EHESS,SSH,No,0335-5985,Q2860453,S168235515,NA,NA,NA,NA,NA,21
Histoire & Mesure / History & Measurement,1986,2025,N/A,France,(none),CAIRN/Éditions de l'EHESS,SSH,No,0982-1783,Q3136533,S78365799,NA,NA,NA,NA,NA,13
Terrains & Travaux / Fields & Works,2000,2025,N/A,France,(none),CAIRN/ENS Paris-Saclay,SSH,No,1627-9506,Q47010142,S4210191005,NA,NA,NA,NA,NA,16
Espaces et Sociétés,1970,2023,N/A,France,(none),CAIRN/Érès,SSH,No,0014-0481,Q3058353,S4210236111,NA,NA,NA,38,62,77
Population,1946,2022,N/A,France,The French Institute for Demographic Studies (Ined),CAIRN/Ined,SSH,No,0032-4663,Q15304703,S65740423,NA,NA,40,31,23,37
Dialogues d'histoire ancienne,1981,2023,N/A,France,(none),CAIRN/Institut des Sciences et Techniques de l'Antiquité (ISTA),SSH,No,0755-7256,Q3026028,S118926362,NA,NA,NA,62,74,57
Sciences sociales et santé / Social Sciences and Health,1982,2025,N/A,France,(none),CAIRN/JLE Éditions,SSH,No,0294-0337,Q27715197,S87194268,NA,NA,NA,NA,NA,14
"Travail, genre et sociétés",1999,2022,N/A,France,(none),CAIRN/La Découverte,SSH,No,1294-6303,Q15758093,S111364325,NA,NA,57,44,48,50
Droit et Société,1985,2023,N/A,France,(none),CAIRN/Lextenso,SSH,No,0769-3362,Q15753106,S4210170263,NA,NA,NA,22,42,20
Revue Internationale d'Éducation Familiale / International review of family education,1997,2025,N/A,France,Association Internationale de Formation et de Recherche en Éducation Familiale (AIFREF),CAIRN/L'Harmattan,SSH,No,1279-7766,Q16652648,s4210177521,NA,NA,NA,NA,NA,19
Déviance et Société,1977,2023,N/A,France,(none),CAIRN/Médecine & Hygiène,SSH,No,0378-7931,Q3045490,S12723432,NA,NA,NA,15,14,18
Practical sociologies,1999,2025,N/A,France,(none),CAIRN/Presses de Sciences Po,SSH,No,1623-6572,Q104065492,S141864345,NA,NA,NA,NA,NA,30
Revue Économique / Economic Review,1950,2025,N/A,France,(none),CAIRN/Presses de Sciences Po,SSH,No,0035-2764,Q7318991,S115516397,NA,NA,NA,NA,NA,31
Diogène,1952,2023,N/A,France,(none),CAIRN/Presses Universitaires de France,SSH,No,0419-1633,Q3028691,S151871228,NA,NA,NA,36,29,49
Nouvelle revue d'esthétique,2008,2023,N/A,France,(none),CAIRN/Presses Universitaires de France,SSH,No,1969-2269,Q3345217,S4210187692,NA,NA,NA,43,18,40
