Journal Name,Year Founded,Year S2O-OA initiated,Year S2O ended,Publisher Location,Affiliation,Current Publisher,Discipline,Has author-side fees?,ISSN-L,Wikidata,openAlexID,2020-Count,2021-Count,2022-Count,2023-Count,2024-Count,2025-Count
Rendiconti Lincei,1849,2023,N/A,Germany,European Mathematical Society & Accademia Nazionale dei Lincei,EMS Press,PSM,No,1120-6349,Q15764741,S4210224264,NA,NA,NA,35,27,89
Revista Matemática Iberoamericana,1985,2022,N/A,Germany,European Mathematical Society & Real Sociedad Matemática Española,EMS Press,PSM,No,0213-2230,Q15758365,S16719760,NA,NA,77,53,69,75
Zeitschrift für Analysis und ihre Anwendungen,1982,2024,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,0232-2064,Q15762128,s4210177496,NA,NA,NA,NA,57,22
Nabokov Studies,1994,2025,N/A,USA,International Vladimir Nabokov Society,International Vladimir Nabokov Society and Davidson College,SSH,No,1548-9965,Q15745280,S100368719,NA,NA,NA,NA,NA,9
Environmental Policy and Law,1975,2023,N/A,The Netherlands,(none),IOS Press,SSH,No,0378-777X,Q15764327,S36909964,NA,NA,NA,26,31,27
Information Services & Use,1981,2024,N/A,The Netherlands,(none),IOS Press,SSH,No,0167-5265,Q6030834,S2764781207,NA,NA,NA,NA,21,16
AQUA,1952,2021,2023,UK,International Water Association,IWA Publishing,PSM,No,2709-8028,Q124155437,S4387288218,NA,85,104,138,NA,NA
Journal of Hydroinformatics,1999,2021,2023,UK,International Water Association & The International Association for Hydro-Environment Engineering and Research,IWA Publishing,PSM,No,1464-7141,Q15764126,S79392371,NA,74,69,158,NA,NA
Journal of Water and Climate Change,2010,2021,2023,UK,International Water Association,IWA Publishing,PSM,No,2040-2244,Q15817178,S32042501,NA,192,199,280,NA,NA
Journal of Water Sanitation and Hygiene for Development,2011,2021,2023,UK,International Water Association,IWA Publishing,PSM,No,2043-9083,Q27725005,S2495644771,NA,97,71,85,NA,NA
Water & Health,2003,2021,2023,UK,International Water Association & World Health Organization,IWA Publishing,LS,No,1477-8920,Q15758145,S26443501,NA,89,128,153,NA,NA
Water Policy,1998,2021,2023,UK,International Water Association & World Water Council,IWA Publishing,PSM,No,1366-7017,Q15761055,S207806050,NA,119,93,70,NA,NA
Water Practice and Technology,2006,2021,2023,UK,International Water Association,IWA Publishing,PSM,No,1751-231X,Q96334888,S137656717,NA,159,172,227,NA,NA
Water Quality Research Journal,1966,2021,2023,UK,International Water Association & Canadian Association on Water Quality,IWA Publishing,PSM,No,2709-8044,Q124128395,S48489864,NA,18,23,17,NA,NA
Water Science and Technology,1969,2021,2023,UK,International Water Association,IWA Publishing,PSM,No,0273-1223,Q15756445,S53450646,NA,534,429,422,NA,NA
Water Supply,2001,2021,2023,UK,International Water Association,IWA Publishing,PSM,No,1606-9749,Q15755619,S124453322,NA,458,396,338,NA,NA
American Imago,1939,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0065-860X,Q3656266,S54565450,NA,NA,NA,NA,NA,18
American Journal of Philology,1880,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0002-9475,Q465359,S186893535,NA,NA,NA,NA,NA,33
Arethusa,1967,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0004-0975,Q4789102,S68799332,NA,NA,NA,NA,NA,18
"Arizona Quarterly: A Journal of American Literature, Culture, and Theory",1945,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0004-1610,Q15766265,S33829722,NA,NA,NA,NA,NA,23
ASAP/Journal,2016,2025,N/A,USA,Association for the Study of the Arts of the Present,Johns Hopkins University Press,SSH,No,2381-4721,Q89679787,S4210224068,NA,NA,NA,NA,NA,13
CUSP: Late Nineteenth and Early Twentieth Century Cultures,2022,2025,N/A,USA,(none),Johns Hopkins University Press,SSH,No,2768-6361,Q134452955,NONE,NA,NA,NA,NA,NA,26
Diacritics,1971,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0300-7162,Q5270247,S149853692,NA,NA,NA,NA,NA,0
Digital Philology: A Journal of Medieval Cultures,2012,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,2162-9544,Q96705924,S4210238910,NA,NA,NA,NA,NA,25
ELH,1934,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0013-8304,Q5323289,S169145255,NA,NA,NA,NA,NA,46
Journal of Asian American Studies,1998,2025,N/A,USA,Association for Asian American Studies,Johns Hopkins University Press,SSH,No,1097-2129,Q6294803,S174442317,NA,NA,NA,NA,NA,54
Journal of Colonialism and Colonial History,2000,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1532-5768,Q6294983,S74935645,NA,NA,NA,NA,NA,26
Journal of Jewish Identities,2008,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1939-7941,Q57263269,S77446758,NA,NA,NA,NA,NA,36
Journal of Late Antiquity,2008,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1942-1273,Q1709853,S87634573,NA,NA,NA,NA,NA,34
Journal of Orthodox Christian Studies,2018,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,2574-495X,Q96720310,S4210199803,NA,NA,NA,NA,NA,18
Journal of the History of Philosophy,1963,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0022-5053,Q6296152,S80702723,NA,NA,NA,NA,NA,71
Kennedy Institute of Ethics Journal,1991,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1086-3249,Q6389629,S159607754,NA,NA,NA,NA,NA,6
Late Imperial China,1965,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0884-3236,Q6495229,S144953016,NA,NA,NA,NA,NA,10
L'Esprit Créateur,1961,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0014-0767,Q6455699,S102986953,NA,NA,NA,NA,NA,38
Library Trends,1952,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0024-2594,Q6542531,S9186059,NA,NA,NA,NA,NA,49
Literature and Medicine,1982,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0278-9671,Q15708559,S43044738,NA,NA,NA,NA,NA,18
Lutheran Quarterly,1987,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0024-7499,Q15758293,s2765026788,NA,NA,NA,NA,NA,95
MFS Modern Fiction Studies,1955,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0026-7724,Q6888659,S16298417,NA,NA,NA,NA,NA,81
MLN,1886,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0026-7910,Q15708561,S77503192,NA,NA,NA,NA,NA,83
Narrative Inquiry in Bioethics,2011,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,2157-1732,Q6966199,S168537555,NA,NA,NA,NA,NA,77
Partial Answers: Journal of Literature and the History of Ideas,2003,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1565-3668,Q7140354,S62637600,NA,NA,NA,NA,NA,36
Philosophy and Literature,1977,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0190-0013,Q7186221,S105007214,NA,NA,NA,NA,NA,34
Poe Studies,1968,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1754-6095,Q15760712,S4210174522,NA,NA,NA,NA,NA,19
portal: Libraries and the Academy,2001,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1531-2542,Q7231500,S158759456,NA,NA,NA,NA,NA,54
Postmodern Culture,1990,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1053-1920,Q7234372,S114252033,NA,NA,NA,NA,NA,0
"Progress in Community Health Partnerships: Research, Education and Action",2007,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1557-0541,Q7248585,S205295645,NA,NA,NA,NA,NA,68
Reviews in American History,1973,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0048-7511,Q7318402,S182589707,NA,NA,NA,NA,NA,46
SAIS Review of International Affairs,1981,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0036-0775,Q15708565,s4210199491,NA,NA,NA,NA,NA,7
Shakespeare Bulletin,1982,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0748-2558,Q15708566,S118201569,NA,NA,NA,NA,NA,49
Spiritus: A Journal of Christian Spirituality,2001,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1533-1709,Q7578151,S199165423,NA,NA,NA,NA,NA,60
Studies in American Fiction,1973,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0091-8083,Q96733159,S86996156,NA,NA,NA,NA,NA,28
Studies in Romanticism,1961,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0039-3762,Q7628078,S52729563,NA,NA,NA,NA,NA,32
The Faulkner Journal,1985,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0884-2949,Q96735555,S4210198686,NA,NA,NA,NA,NA,0
The Hopkins Review,1947,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1939-9774,Q5494301,S30839266,NA,NA,NA,NA,NA,97
The Lion and the Unicorn,1977,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0147-2593,Q7747501,S123744177,NA,NA,NA,NA,NA,0
The Review of Higher Education,1978,2025,N/A,USA,Association for the Study of Higher Education,Johns Hopkins University Press,SSH,No,0162-5748,Q7760533,S186832212,NA,NA,NA,NA,NA,41
Theory & Event,1997,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,1092-311X,Q7782409,S122671983,NA,NA,NA,NA,NA,42
Victorian Poetry,1963,2025,N/A,USA,,Johns Hopkins University Press,SSH,No,0042-5206,Q15764088,S136786980,NA,NA,NA,NA,NA,6
Wallace Stevens Journal,1977,2025,N/A,USA,Wallace Stevens Society,Johns Hopkins University Press,SSH,No,0148-7132,Q7773330,S955825915,NA,NA,NA,NA,NA,29
Developmental Neuroscience,1978,2023,N/A,Switzerland,(none),Karger,LS,No,0378-5866,Q15763713,S88959177,NA,NA,NA,59,33,60
European Addiction Research,1995,2025,N/A,Switzerland,European Federation of Addiction Societies,Karger,LS,No,1022-6877,Q15749459,S98083841,NA,NA,NA,NA,NA,31
Neurodegenerative Diseases,2004,2025,N/A,Switzerland,Société Francophone Posture Équilibre et Locomotion,Karger,LS,No,1660-2854,Q15764918,S101887095,NA,NA,NA,NA,NA,40
Pediatric Neurosurgery,1975,2023,N/A,Switzerland,(none),Karger,LS,No,1016-2291,Q15749799,S130320380,NA,NA,NA,81,20,32
European Journal of Language Policy,2009,2025,N/A,UK,,Liverpool University Press,SSH,No,1757-6822,Q60686491,S103271999,NA,NA,NA,NA,NA,19
International Development Planning Review (IDPR),1979,2022,N/A,UK,(none),Liverpool University Press,SSH,No,1474-6743,Q15752603,S77065269,NA,NA,20,22,21,32
Town Planning Review (TPR),1910,2022,N/A,UK,(none),Liverpool University Press,SSH,No,0041-0020,Q15755693,S127305097,NA,NA,49,34,63,55
Algebra & Number Theory,2007,2023,N/A,USA,(none),Mathematical Sciences Publishers,PSM,No,1937-0652,Q4723967,S184416969,NA,NA,NA,85,74,79
Algebraic & Geometric Topology,2001,2023,N/A,USA,(none),Mathematical Sciences Publishers,PSM,No,1472-2747,Q4723981,S106486924,NA,NA,NA,118,159,175
Analysis & PDE,2008,2023,N/A,USA,(none),Mathematical Sciences Publishers,PSM,No,2157-5045,Q15727043,S2477993565,NA,NA,NA,75,100,63
Geometry & Topology,1997,2023,N/A,USA,(none),Mathematical Sciences Publishers,PSM,No,1364-0380,Q5535513,S50220091,NA,NA,NA,71,90,93
Pacific Journal of Mathematics,1951,2023,N/A,USA,(none),Mathematical Sciences Publishers,PSM,No,0030-8730,Q4046287,S130774151,NA,NA,NA,101,105,111
Journal of General Virology,1967,2025,N/A,UK,Microbiology Society,Microbiology Society,LS,Yes,0022-1317,Q6295245,S103035011,NA,NA,NA,NA,NA,137
Journal of Medical Microbiology,1968,2025,N/A,UK,Microbiology Society,Microbiology Society,LS,Yes,0022-2615,Q15708716,S154078021,NA,NA,NA,NA,NA,160
American Studies,1960,2025,N/A,USA,Mid-America American Studies Association,Mid-American Studies Association,SSH,No,0026-3079,Q4745197,S157163303,NA,NA,NA,NA,NA,0
Historical Interactions of Religious Cultures,2024,2024,N/A,Germany,(none),Mohr Siebeck,SSH,No,2941-4172,Q134453159,s4387291410,NA,NA,NA,NA,7,11
"Philosophy, Theology and the Sciences",2014,2024,N/A,Germany,(none),Mohr Siebeck,SSH,No,2195-9773,Q20182558,S4210234116,NA,NA,NA,NA,21,25
Rabels Zeitschrift für ausländisches und internationales Privatrecht,1927,2024,N/A,Germany,(none),Mohr Siebeck,SSH,No,0033-7250,Q2124937,S108365452,NA,NA,NA,NA,97,72
Religion in the Roman Empire,2015,2023,N/A,Germany,(none),Mohr Siebeck,SSH,No,2199-4463,Q20164753,S4210191761,NA,NA,NA,16,26,22
Zeitschrift für geistiges Eigentum,2009,2024,N/A,Germany,(none),Mohr Siebeck,SSH,No,1866-339X,Q186667,S4210191860,NA,NA,NA,NA,31,18
Mondes & Migrations,1965,2025,N/A,France,(none),OpenEdition/Musée de l’histoire de l’immigration,SSH,No,3075-6812,Q134444890,NONE,NA,NA,NA,NA,NA,143
Levinas Studies,2005,2025,N/A,USA,,Philosophy Documentation Center,SSH,No,1554-7000,Q15816709,S4210233868,NA,NA,NA,NA,NA,6
Arab Studies Quarterly,1979,2021,N/A,UK,University of California,Pluto Journals,SSH,No,0271-3519,Q4783253,S164212335,NA,56,31,33,30,37
Bethlehem University Journal,1981,2021,N/A,UK,"Bethlehem University, Palestine",Pluto Journals,SSH,No,2410-5449,Q96695687,S4210178821,NA,13,3,11,0,2
Decolonial Horizons,2015,2021,N/A,UK,Otros Cruces,Pluto Journals,SSH,No,2422-6343,Q96706742,S4210175704,NA,0,8,8,0,0
Groundings: The Journal of the Walter Rodney Foundation,2014,2021,N/A,UK,The Walter Rodney Foundation,Pluto Journals,SSH,No,2573-069X,Q96705037,S4210214782,NA,0,14,0,0,0
Institute of Employment Rights Journal,2018,2021,N/A,UK,The Institute of Employment Rights,Pluto Journals,SSH,No,2398-1326,Q96709613,S4210232040,NA,6,0,0,0,0
International Journal of Critical Diversity Studies,2018,2021,N/A,UK,The Wits Centre for Diversity Studies,Pluto Journals,SSH,No,2516-550X,Q96711718,S4210214487,NA,3,0,14,9,22
International Journal of Cuban Studies,2008,2021,N/A,UK,The International Institute for the Study of Cuba,Pluto Journals,SSH,No,1756-3461,Q15814376,S2764545783,NA,25,15,43,24,12
International Journal of Disability and Social Justice,2021,2021,N/A,UK,University of Leeds,Pluto Journals,SSH,No,2732-4036,Q134471191,s4210236504,NA,9,17,26,20,20
Islamophobia Studies Journal,2012,2021,N/A,UK,The Islamophobia Research and Documentation Project at Berkeley,Pluto Journals,SSH,No,2325-8381,Q96708803,S4210192752,NA,17,21,11,8,7
Journal for the Study of Indentureship and its Legacies,2021,2021,N/A,UK,The Ameena Gafoor Institute,Pluto Journals,SSH,No,2634-1999,Q134471383,s4210179858,NA,16,22,15,39,7
Journal of Fair Trade,2019,2021,N/A,UK,The Fair Trade Society,Pluto Journals,SSH,No,2514-4447,Q96736284,S4210220040,NA,13,7,10,13,12
Journal of Global Faultlines,2013,2021,N/A,UK,Keele University,Pluto Journals,SSH,No,2397-7825,Q96715120,S4210205121,NA,27,10,37,22,19
Journal of Intersectionality,2017,2021,N/A,UK,(none),Pluto Journals,SSH,No,2515-2114,Q96736420,S4210193241,NA,0,18,17,7,0
Policy Perspectives,2004,2021,N/A,UK,The Institute of Policy Studies,Pluto Journals,SSH,No,1812-1829,Q96726658,S4210188301,NA,10,23,20,22,22
Prometheus,1983,2021,N/A,UK,(none),Pluto Journals,SSH,No,0810-9028,Q15754000,S198336703,NA,24,53,43,7,19
ReOrient: The Journal of Critical Muslim Studies,2015,2021,N/A,UK,University of Leeds,Pluto Journals,SSH,No,2055-5601,Q18394042,S4210213848,NA,15,26,10,24,16
Socialist Lawyer,1986,2021,N/A,UK,The Haldane Society of Socialist Lawyers,Pluto Journals,SSH,No,0954-3635,Q96731591,S2764927909,NA,45,57,39,23,0
State Crime Journal,2012,2021,N/A,UK,The International State Crime Initiative,Pluto Journals,SSH,No,2046-6056,Q96333903,S4210197680,NA,36,26,14,36,7
"Work Organisation, Labour & Globalisation",2007,2021,N/A,UK,(none),Pluto Journals,SSH,No,1745-641X,Q15757507,S2764966877,NA,14,20,20,15,31
World Review of Political Economy,2010,2021,N/A,UK,The World Association for Political Economy,Pluto Journals,SSH,No,2042-891X,Q60191122,S2764431486,NA,46,44,34,33,25
Zanj: The Journal of Critical Global South Studies,2017,2021,N/A,UK,(none),Pluto Journals,SSH,No,2515-2130,Q96734106,S4210226431,NA,0,34,6,0,13
Biochemical Journal,1906,2025,N/A,UK,Biochemical Society,Portland Press,LS,No,0264-6021,Q864221,S44425019,NA,NA,NA,NA,NA,129
Biochemical Society Transactions,1973,2025,N/A,UK,Biochemical Society,Portland Press,LS,No,0300-5127,Q864226,S137670264,NA,NA,NA,NA,NA,124
Clinical Science,1909,2025,N/A,UK,Biochemical Society,Portland Press,LS,No,0143-5221,Q372419,S206649051,NA,NA,NA,NA,NA,98
Emerging Topics in Life Sciences,2017,2025,N/A,UK,Biochemical Society & Royal Society of Biology,Portland Press,LS,No,2397-8554,Q66692154,S4210170546,NA,NA,NA,NA,NA,18
Essays in Biochemistry,1965,2025,N/A,UK,Biochemical Society,Portland Press,LS,No,0071-1365,Q15754041,S30084617,NA,NA,NA,NA,NA,38
Education and Culture,1981,2025,N/A,USA,,Purdue University Press,SSH,No,1085-4908,Q15763434,S78376902,NA,NA,NA,NA,NA,13
Shofar: An Interdisciplinary Journal of Jewish Studies,1981,2025,N/A,USA,,Purdue University Press,SSH,No,0882-8539,Q7500070,S10702487,NA,NA,NA,NA,NA,36
Medical Law International,1993,2023,N/A,USA,(none),SAGE,SSH,No,0968-5332,Q6806373,S78299534,NA,NA,NA,28,20,23
Netherlands Quarterly of Human Rights,1983,2023,N/A,USA,Netherlands Institute of Human Rights (SIM),SAGE,SSH,No,0924-0519,Q15766781,S158082692,NA,NA,NA,21,21,19
Arthuriana,1994,2025,N/A,USA,"International Arthurian Society, North American Branch",Scriptorium Press,SSH,No,1078-6279,Q4800811,S93573758,NA,NA,NA,NA,NA,54
Journal of LGBTQ Issues in Counseling,2006,2025,N/A,USA,,Taylor & Francis,SSH,No,1553-8605,Q15817852,S143617034,NA,NA,NA,NA,NA,35
Legal Reference Services Quarterly,1981,2025,N/A,USA,,Taylor & Francis,SSH,No,0270-319X,Q15759906,S91328126,NA,NA,NA,NA,NA,18
Technical Services Quarterly,1984,2025,N/A,USA,,Taylor & Francis,SSH,No,0731-7131,Q15758167,S49429790,NA,NA,NA,NA,NA,53
China Review,2001,2025,N/A,China,,The Chinese University of Hong Kong Press,SSH,No,1680-2012,Q15746497,S55323383,NA,NA,NA,NA,NA,0
Journal of Chinese Linguistics,1973,2025,N/A,China,,The Chinese University of Hong Kong Press,SSH,No,0091-3723,Q10874116,S21538864,NA,NA,NA,NA,NA,41
"American Periodicals: A Journal of History, Criticism, and Bibliography",1991,2025,N/A,USA,Research Society for American Periodicals,The Ohio State University Press,SSH,No,1054-7479,Q15755435,S77206139,NA,NA,NA,NA,NA,18
Inks: The Journal of the Comics Studies Society,2017,2025,N/A,USA,Comics Studies Society,The Ohio State University Press,SSH,No,2473-5205,Q89783259,S4210213037,NA,NA,NA,NA,NA,32
Narrative,1993,2025,N/A,USA,,The Ohio State University Press,SSH,No,1063-3685,Q15745283,S174608640,NA,NA,NA,NA,NA,21
Victorians: A Journal of Culture and Literature,1952,2025,N/A,USA,,The Ohio State University Press,SSH,No,2166-0107,Q59430637,S4210179391,NA,NA,NA,NA,NA,0
Journal of the Southwest,1959,2025,N/A,USA,,"The Southwest Center, University of Arizona",SSH,No,0894-8410,Q3810630,S135391083,NA,NA,NA,NA,NA,23
Southern Cultures,1993,2025,N/A,USA,,The University of North Carolina Press,SSH,No,1068-8218,Q15761364,S134342477,NA,NA,NA,NA,NA,56
The Latin Americanist,1956,2025,N/A,USA,Southeastern Council of Latin American Studies,The University of North Carolina Press,SSH,No,1557-203X,Q15764149,S44381432,NA,NA,NA,NA,NA,35
Tulsa Studies in Women's Literature,1982,2025,N/A,USA,,The University of Tulsa,SSH,No,0732-7730,Q7852369,S2764659605,NA,NA,NA,NA,NA,0
Climates and Cultures in History,2024,2024,N/A,UK,(none),The White Horse Press,SSH,No,2635-1331,Q134452915,NONE,NA,NA,NA,NA,6,0
Global Environment,2008,2024,N/A,UK,,The White Horse Press,SSH,No,1973-3739,Q96328934,S4210188446,NA,NA,NA,NA,29,28
Nomadic Peoples,1997,2023,N/A,UK,The Commission on Nomadic Peoples / IUAES,The White Horse Press,SSH,No,0822-7942,Q15755901,S178513897,NA,NA,NA,19,22,24
Plant Perspectives,2024,2024,N/A,UK,(none),The White Horse Press,SSH,No,2753-3603 ,Q134471176,S4394906782,NA,NA,NA,NA,30,29
Worldwide Waste,2018,2024,N/A,UK,(none),The White Horse Press,SSH,No,2399-7117,Q124413041,S4210224504,NA,NA,NA,NA,2,6
China Studies International,2013,2025,N/A,USA,(none),University of Hawai'i Press,SSH,No,2996-8593,Q134453191,s4404669925,NA,NA,NA,NA,NA,42
Music and the Moving Image,2008,2025,N/A,USA,,University of Illinois Press,SSH,No,1940-7610,Q53953287,S4210226598,NA,NA,NA,NA,NA,12
The Journal of Aesthetic Education,1966,2025,N/A,USA,,University of Illinois Press,SSH,No,0021-8510,Q15754803,S22755053,NA,NA,NA,NA,NA,30
"Restoration: Studies in English Literary Culture, 1660-1700",1977,2025,N/A,USA,,University of Maryland,SSH,No,1941-952X,Q15758231,S4835602,NA,NA,NA,NA,NA,9
Mechademia,2006,2025,N/A,USA,,University of Minnesota Press,SSH,No,1934-2489,Q6804452,S16704120,NA,NA,NA,NA,NA,0
The Missouri Review,1978,2025,N/A,USA,,University of Missouri,SSH,No,1548-9930,Q7751777,S204358049,NA,NA,NA,NA,NA,58
American Indian Quarterly,1974,2025,N/A,USA,,University of Nebraska Press,SSH,No,0095-182X,Q4744109,S188904407,NA,NA,NA,NA,NA,0
Anthropological Linguistics,1959,2025,N/A,USA,,University of Nebraska Press,SSH,No,0003-5483,Q15759972,S96414126,NA,NA,NA,NA,NA,0
Collaborative Anthropologies,2008,2025,N/A,USA,,University of Nebraska Press,SSH,No,1943-2550,Q15758582,S2764746475,NA,NA,NA,NA,NA,0
Feminist German Studies,1985,2025,N/A,USA,The Coalition of Women in German,University of Nebraska Press,SSH,No,2578-5192,Q96701417,S4210175555,NA,NA,NA,NA,NA,32
Frontiers: A Journal of Women Studies,1975,2025,N/A,USA,,University of Nebraska Press,SSH,No,0160-9009,Q15760728,S4210203252,NA,NA,NA,NA,NA,30
Great Plains Quarterly,1981,2025,N/A,USA,,University of Nebraska Press,SSH,No,0275-7664,Q26849617,S66322658,NA,NA,NA,NA,NA,37
Great Plains Research,1991,2025,N/A,USA,,University of Nebraska Press,SSH,No,1052-5165,Q26849618,S2764896820,NA,NA,NA,NA,NA,0
Intertexts,1997,2025,N/A,USA,,University of Nebraska Press,SSH,No,1096-4458,Q15750351,S32324722,NA,NA,NA,NA,NA,6
Journal of Austrian Studies,1967,2025,N/A,USA,,University of Nebraska Press,SSH,No,2165-669X,Q57244407,S2764752174,NA,NA,NA,NA,NA,52
Journal of Magazine Media,1999,2025,N/A,USA,Association for Education in Journalism and Mass Communication,University of Nebraska Press,SSH,No,2576-7887,Q96717830,S4210233624,NA,NA,NA,NA,NA,13
Journal of Sports Media,2006,2025,N/A,USA,,University of Nebraska Press,SSH,No,1558-4313,Q15757470,S93375726,NA,NA,NA,NA,NA,14
Legacy: A Journal of American Women Writers,1984,2025,N/A,USA,Society for the Study of American Women Writers,University of Nebraska Press,SSH,No,0748-4321,Q15761262,S45282085,NA,NA,NA,NA,NA,12
NINE: A Journal of Baseball History and Culture,1992,2025,N/A,USA,,University of Nebraska Press,SSH,No,1188-9330,Q96719316,S4210180602,NA,NA,NA,NA,NA,47
Nineteenth-Century French Studies,1972,2025,N/A,USA,,University of Nebraska Press,SSH,No,0146-7891,Q15749170,S96917445,NA,NA,NA,NA,NA,10
Nouvelles Etudes Francophones,2006,2025,N/A,USA,International Council of Francophone Studies,University of Nebraska Press,SSH,No,1552-3152,Q3345288,S4210234781,NA,NA,NA,NA,NA,24
Storyworlds: A Journal of Narrative Studies,2009,2025,N/A,USA,,University of Nebraska Press,SSH,No,1946-2204,Q27921624,S16151882,NA,NA,NA,NA,NA,0
Studies in American Indian Literatures,1989,2025,N/A,USA,Association for the Study of American Indian Literatures,University of Nebraska Press,SSH,No,0730-3238,Q15766590,S50874328,NA,NA,NA,NA,NA,0
Studies in American Naturalism,2006,2025,N/A,USA,,University of Nebraska Press,SSH,No,1931-2555,Q15755315,S61399512,NA,NA,NA,NA,NA,0
Western American Literature,1966,2025,N/A,USA,Western Literature Association,University of Nebraska Press,SSH,No,0043-3462,Q15750159,S111213863,NA,NA,NA,NA,NA,47
Women and Music: A Journal of Gender and Culture,1997,2025,N/A,USA,,University of Nebraska Press,SSH,No,1553-0612,Q15763485,S204859843,NA,NA,NA,NA,NA,1
Change Over Time,2011,2025,N/A,USA,,University of Pennsylvania Press,SSH,No,2153-0548,Q15716459,S180246578,NA,NA,NA,NA,NA,4
Early American Studies: An Interdisciplinary Journal,2003,2025,N/A,USA,,University of Pennsylvania Press,SSH,No,1543-4273,Q15709997,S13549255,NA,NA,NA,NA,NA,17
Eudora Welty Review,2009,2025,N/A,USA,Eudora Welty Society,University of Pennsylvania Press,SSH,No,1947-3370,Q57294402,S2764513514,NA,NA,NA,NA,NA,25
French Forum,1975,2025,N/A,USA,,University of Pennsylvania Press,SSH,No,1534-1836,Q5501769,S26445087,NA,NA,NA,NA,NA,19
"Humanity: An International Journal of Human Rights, Humanitarianism, and Development",2010,2025,N/A,USA,,University of Pennsylvania Press,SSH,No,2151-4372,Q15710022,S163559066,NA,NA,NA,NA,NA,0
Information & Culture,1966,2025,N/A,USA,,University of Texas Press,SSH,No,2164-8034,Q6030640,S1002854943,NA,NA,NA,NA,NA,30
Studies in Latin American Popular Culture,1982,2025,N/A,USA,,University of Texas Press,SSH,No,0730-9139,Q15750458,S197429832,NA,NA,NA,NA,NA,9
Journal of City Climate Policy and Economy,2022,2022,N/A,Canada,(none),University of Toronto Press,SSH,No,2816-7406,Q134453123,s4393919708,NA,NA,12,4,18,54
African Economic History,1974,2025,N/A,USA,,University of Wisconsin Press,SSH,No,0145-2258,Q4689758,S81146794,NA,NA,NA,NA,NA,7
Luso-Brazilian Review,1964,2025,N/A,USA,,University of Wisconsin Press,SSH,No,0024-7413,Q6705203,S64911513,NA,NA,NA,NA,NA,34
